,Academic Year,County Code,District Code,County Name,District Name,Charter School,DASS,Reporting Category,Cumulative Enrollment,Homeless Student Enrollment,Temporarily Doubled Up,Temporary Shelters,Hotels/Motels,Temporarily Unsheltered,Missing/Unknown,Temporarily Doubled Up (percent),Temporary Shelters (percent),Hotels/Motels (percent),Temporarily Unsheltered (percent),Missing/Unknown (percent)
0,2019-20,1,10017.0,Alameda,Alameda County Office of Education,All,All,TA,5037,96,23,58,5,8,2,24.0,60.4,5.2,8.3,2.1
1,2019-20,1,61119.0,Alameda,Alameda Unified,All,All,TA,11621,108,83,17,7,1,0,76.9,15.7,6.5,0.9,0.0
2,2019-20,1,61127.0,Alameda,Albany City Unified,All,All,TA,3729,8,6,0,2,0,0,75.0,0.0,25.0,0.0,0.0
3,2019-20,1,61143.0,Alameda,Berkeley Unified,All,All,TA,10058,243,196,30,15,2,0,80.7,12.3,6.2,0.8,0.0
4,2019-20,1,31609.0,Alameda,California School for the Blind (State Special Schl),All,All,TA,74,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5,2019-20,1,31617.0,Alameda,California School for the Deaf-Fremont (State Special Schl),All,All,TA,371,3,0,1,2,0,0,0.0,33.3,66.7,0.0,0.0
6,2019-20,1,61150.0,Alameda,Castro Valley Unified,All,All,TA,9524,121,92,9,7,13,0,76.0,7.4,5.8,10.7,0.0
7,2019-20,1,75093.0,Alameda,Dublin Unified,All,All,TA,12892,22,17,3,2,0,0,77.3,13.6,9.1,0.0,0.0
8,2019-20,1,61168.0,Alameda,Emery Unified,All,All,TA,774,13,7,3,3,0,0,53.8,23.1,23.1,0.0,0.0
9,2019-20,1,61176.0,Alameda,Fremont Unified,All,All,TA,36533,272,201,28,37,5,1,73.9,10.3,13.6,1.8,0.4
10,2019-20,1,61192.0,Alameda,Hayward Unified,All,All,TA,23273,749,604,82,46,10,7,80.6,10.9,6.1,1.3,0.9
11,2019-20,1,61200.0,Alameda,Livermore Valley Joint Unified,All,All,TA,13886,139,64,41,31,3,0,46.0,29.5,22.3,2.2,0.0
12,2019-20,1,61218.0,Alameda,Mountain House Elementary,All,All,TA,21,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
13,2019-20,1,61242.0,Alameda,New Haven Unified,All,All,TA,11407,131,92,11,25,3,0,70.2,8.4,19.1,2.3,0.0
14,2019-20,1,61234.0,Alameda,Newark Unified,All,All,TA,5873,296,253,17,22,4,0,85.5,5.7,7.4,1.4,0.0
15,2019-20,1,61259.0,Alameda,Oakland Unified,All,All,TA,52102,1231,1071,51,33,76,0,87.0,4.1,2.7,6.2,0.0
16,2019-20,1,61275.0,Alameda,Piedmont City Unified,All,All,TA,2599,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
17,2019-20,1,75101.0,Alameda,Pleasanton Unified,All,All,TA,15313,4,3,0,1,0,0,75.0,0.0,25.0,0.0,0.0
18,2019-20,1,61291.0,Alameda,San Leandro Unified,All,All,TA,9464,169,105,14,27,23,0,62.1,8.3,16.0,13.6,0.0
19,2019-20,1,61309.0,Alameda,San Lorenzo Unified,All,All,TA,11287,252,178,14,9,51,0,70.6,5.6,3.6,20.2,0.0
20,2019-20,1,77180.0,Alameda,SBE - Latitude 37.8 High,All,All,TA,105,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
21,2019-20,1,75119.0,Alameda,Sunol Glen Unified,All,All,TA,295,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
22,2019-20,2,61333.0,Alpine,Alpine County Unified,All,All,TA,84,24,16,8,0,0,0,66.7,33.3,0.0,0.0,0.0
23,2019-20,3,10033.0,Amador,Amador County Office of Education,All,All,TA,228,14,4,2,5,2,1,28.6,14.3,35.7,14.3,7.1
24,2019-20,3,73981.0,Amador,Amador County Unified,All,All,TA,4159,151,116,14,12,9,0,76.8,9.3,7.9,6.0,0.0
25,2019-20,4,61382.0,Butte,Bangor Union Elementary,All,All,TA,113,5,5,0,0,0,0,100.0,0.0,0.0,0.0,0.0
26,2019-20,4,61408.0,Butte,Biggs Unified,All,All,TA,635,33,32,0,0,1,0,97.0,0.0,0.0,3.0,0.0
27,2019-20,4,10041.0,Butte,Butte County Office of Education,All,All,TA,1691,138,86,16,2,34,0,62.3,11.6,1.4,24.6,0.0
28,2019-20,4,61424.0,Butte,Chico Unified,All,All,TA,14989,604,438,105,26,32,3,72.5,17.4,4.3,5.3,0.5
29,2019-20,4,61432.0,Butte,Durham Unified,All,All,TA,1095,105,103,2,0,0,0,98.1,1.9,0.0,0.0,0.0
30,2019-20,4,61457.0,Butte,Golden Feather Union Elementary,All,All,TA,55,24,3,0,0,21,0,12.5,0.0,0.0,87.5,0.0
31,2019-20,4,75507.0,Butte,Gridley Unified,All,All,TA,2250,61,27,30,2,0,2,44.3,49.2,3.3,0.0,3.3
32,2019-20,4,61499.0,Butte,Manzanita Elementary,All,All,TA,299,6,6,0,0,0,0,100.0,0.0,0.0,0.0,0.0
33,2019-20,4,61507.0,Butte,Oroville City Elementary,All,All,TA,2965,135,88,11,35,1,0,65.2,8.1,25.9,0.7,0.0
34,2019-20,4,61515.0,Butte,Oroville Union High,All,All,TA,2379,177,131,18,21,6,1,74.0,10.2,11.9,3.4,0.6
35,2019-20,4,61523.0,Butte,Palermo Union Elementary,All,All,TA,1418,105,99,1,3,1,1,94.3,1.0,2.9,1.0,1.0
36,2019-20,4,61531.0,Butte,Paradise Unified,All,All,TA,2426,462,210,104,8,140,0,45.5,22.5,1.7,30.3,0.0
37,2019-20,4,73379.0,Butte,Pioneer Union Elementary,All,All,TA,80,3,0,3,0,0,0,0.0,100.0,0.0,0.0,0.0
38,2019-20,4,61549.0,Butte,Thermalito Union Elementary,All,All,TA,1670,60,43,7,9,1,0,71.7,11.7,15.0,1.7,0.0
39,2019-20,5,61556.0,Calaveras,Bret Harte Union High,All,All,TA,675,6,6,0,0,0,0,100.0,0.0,0.0,0.0,0.0
40,2019-20,5,10058.0,Calaveras,Calaveras County Office of Education,All,All,TA,541,7,7,0,0,0,0,100.0,0.0,0.0,0.0,0.0
41,2019-20,5,61564.0,Calaveras,Calaveras Unified,All,All,TA,3097,158,142,4,4,3,5,89.9,2.5,2.5,1.9,3.2
42,2019-20,5,61572.0,Calaveras,Mark Twain Union Elementary,All,All,TA,847,1,1,0,0,0,0,100.0,0.0,0.0,0.0,0.0
43,2019-20,5,61580.0,Calaveras,Vallecito Union,All,All,TA,622,33,31,2,0,0,0,93.9,6.1,0.0,0.0,0.0
44,2019-20,6,10066.0,Colusa,Colusa County Office of Education,All,All,TA,40,4,4,0,0,0,0,100.0,0.0,0.0,0.0,0.0
45,2019-20,6,61598.0,Colusa,Colusa Unified,All,All,TA,1622,54,32,10,12,0,0,59.3,18.5,22.2,0.0,0.0
46,2019-20,6,61606.0,Colusa,Maxwell Unified,All,All,TA,374,43,22,19,0,2,0,51.2,44.2,0.0,4.7,0.0
47,2019-20,6,61614.0,Colusa,Pierce Joint Unified,All,All,TA,1516,100,86,2,5,4,3,86.0,2.0,5.0,4.0,3.0
48,2019-20,6,61622.0,Colusa,Williams Unified,All,All,TA,1422,115,45,2,3,65,0,39.1,1.7,2.6,56.5,0.0
49,2019-20,7,61630.0,Contra Costa,Acalanes Union High,All,All,TA,5716,7,6,0,1,0,0,85.7,0.0,14.3,0.0,0.0
