,Academic Year,County Code,District Code,County Name,District Name,Adjusted Cumulative Enrollment,Stability Count,Stability Rate (percent),Non-Stability Count,Non-Stability Rate (percent)
0,2017-18,1,10017.0,Alameda,Alameda County Office of Education,4279,2771,64.8,1508,35.2
1,2017-18,1,61119.0,Alameda,Alameda Unified,11644,10897,93.6,747,6.4
2,2017-18,1,61127.0,Alameda,Albany City Unified,3780,3550,93.9,230,6.1
3,2017-18,1,61143.0,Alameda,Berkeley Unified,10613,9983,94.1,630,5.9
4,2017-18,1,31609.0,Alameda,California School for the Blind (State Special Schl),66,45,68.2,21,31.8
5,2017-18,1,31617.0,Alameda,California School for the Deaf-Fremont (State Special Schl),405,353,87.2,52,12.8
6,2017-18,1,61150.0,Alameda,Castro Valley Unified,9544,8977,94.1,567,5.9
7,2017-18,1,75093.0,Alameda,Dublin Unified,11788,10984,93.2,804,6.8
8,2017-18,1,61168.0,Alameda,Emery Unified,748,660,88.2,88,11.8
9,2017-18,1,61176.0,Alameda,Fremont Unified,37033,33925,91.6,3108,8.4
10,2017-18,1,61192.0,Alameda,Hayward Unified,23936,21561,90.1,2375,9.9
11,2017-18,1,61200.0,Alameda,Livermore Valley Joint Unified,14201,13115,92.4,1086,7.6
12,2017-18,1,61218.0,Alameda,Mountain House Elementary,25,16,64.0,9,36.0
13,2017-18,1,61242.0,Alameda,New Haven Unified,11978,11161,93.2,817,6.8
14,2017-18,1,61234.0,Alameda,Newark Unified,6163,5633,91.4,530,8.6
15,2017-18,1,61259.0,Alameda,Oakland Unified,52571,46852,89.1,5719,10.9
16,2017-18,1,61275.0,Alameda,Piedmont City Unified,2662,2606,97.9,56,2.1
17,2017-18,1,75101.0,Alameda,Pleasanton Unified,15426,14414,93.4,1012,6.6
18,2017-18,1,61291.0,Alameda,San Leandro Unified,9331,8522,91.3,809,8.7
19,2017-18,1,61309.0,Alameda,San Lorenzo Unified,12028,10957,91.1,1071,8.9
20,2017-18,1,75119.0,Alameda,Sunol Glen Unified,300,287,95.7,13,4.3
21,2017-18,2,10025.0,Alpine,Alpine County Office of Education,*,*,*,*,*
22,2017-18,2,61333.0,Alpine,Alpine County Unified,90,73,81.1,17,18.9
23,2017-18,3,10033.0,Amador,Amador County Office of Education,278,200,71.9,78,28.1
24,2017-18,3,73981.0,Amador,Amador County Unified,4214,3618,85.9,596,14.1
25,2017-18,4,61382.0,Butte,Bangor Union Elementary,104,63,60.6,41,39.4
26,2017-18,4,61408.0,Butte,Biggs Unified,684,570,83.3,114,16.7
27,2017-18,4,10041.0,Butte,Butte County Office of Education,1701,1023,60.1,678,39.9
28,2017-18,4,61424.0,Butte,Chico Unified,14915,13243,88.8,1672,11.2
29,2017-18,4,61432.0,Butte,Durham Unified,1067,976,91.5,91,8.5
30,2017-18,4,61440.0,Butte,Feather Falls Union Elementary,97,69,71.1,28,28.9
31,2017-18,4,61457.0,Butte,Golden Feather Union Elementary,263,149,56.7,114,43.3
32,2017-18,4,75507.0,Butte,Gridley Unified,2175,1921,88.3,254,11.7
33,2017-18,4,61499.0,Butte,Manzanita Elementary,301,289,96.0,12,4.0
34,2017-18,4,61507.0,Butte,Oroville City Elementary,2921,2381,81.5,540,18.5
35,2017-18,4,61515.0,Butte,Oroville Union High,2354,1852,78.7,502,21.3
36,2017-18,4,61523.0,Butte,Palermo Union Elementary,1390,1186,85.3,204,14.7
37,2017-18,4,61531.0,Butte,Paradise Unified,4547,3761,82.7,786,17.3
38,2017-18,4,73379.0,Butte,Pioneer Union Elementary,84,43,51.2,41,48.8
39,2017-18,4,61549.0,Butte,Thermalito Union Elementary,1705,1407,82.5,298,17.5
40,2017-18,5,61556.0,Calaveras,Bret Harte Union High,715,596,83.4,119,16.6
41,2017-18,5,10058.0,Calaveras,Calaveras County Office of Education,639,416,65.1,223,34.9
42,2017-18,5,61564.0,Calaveras,Calaveras Unified,3184,2613,82.1,571,17.9
43,2017-18,5,61572.0,Calaveras,Mark Twain Union Elementary,874,758,86.7,116,13.3
