,CountyCode,DistrictCode,CountyName,DistrictName,Cumulative Enrollment,Total Suspensions,Unduplicated Count of Students Suspended (Total),Unduplicated Count of Students Suspended (Defiance-Only),Suspension Rate (Total),Suspension Count Violent Incident (Injury),Suspension Count Violent Incident (No Injury),Suspension Count Weapons Possession,Suspension Count Illicit Drug-Related,Suspension Count Defiance-Only,Suspension Count Other Reasons,AcademicYear
0,1,10017.0,Alameda,Alameda County Office of Education,5603,368,175,88,3.1,39,82,4,41,186,16,2011-12
1,1,31609.0,Alameda,California School for the Blind (State Special Schl),82,6,5,5,6.1,0,1,0,0,5,0,2011-12
2,1,31617.0,Alameda,California School for the Deaf-Fremont (State Special Schl),442,165,97,19,21.9,34,54,0,41,23,13,2011-12
3,1,61119.0,Alameda,Alameda City Unified,11137,1040,579,238,5.2,304,149,32,108,379,68,2011-12
4,1,61127.0,Alameda,Albany City Unified,3350,174,123,49,3.7,14,34,14,34,63,15,2011-12
5,1,61143.0,Alameda,Berkeley Unified,10159,769,478,114,4.7,165,239,16,119,157,73,2011-12
6,1,61150.0,Alameda,Castro Valley Unified,9327,567,377,170,4.0,26,181,10,71,248,31,2011-12
7,1,61168.0,Alameda,Emery Unified,862,47,28,0,3.2,34,1,3,2,0,7,2011-12
8,1,61176.0,Alameda,Fremont Unified,34000,1751,1100,398,3.2,199,596,45,191,614,106,2011-12
9,1,61192.0,Alameda,Hayward Unified,22972,1881,1262,73,5.5,349,959,65,312,79,117,2011-12
10,1,61200.0,Alameda,Livermore Valley Joint Unified,13295,1193,661,258,5.0,384,122,37,162,420,68,2011-12
11,1,61218.0,Alameda,Mountain House Elementary,44,0,0,0,0.0,0,0,0,0,0,0,2011-12
12,1,61234.0,Alameda,Newark Unified,6893,1180,571,353,8.3,89,325,15,51,679,21,2011-12
13,1,61242.0,Alameda,New Haven Unified,13570,1166,702,311,5.2,53,443,23,90,485,72,2011-12
14,1,61259.0,Alameda,Oakland Unified,48720,7078,3702,1334,7.6,1430,2591,169,420,2115,353,2011-12
15,1,61275.0,Alameda,Piedmont City Unified,2580,39,37,1,1.4,2,15,1,11,1,9,2011-12
16,1,61291.0,Alameda,San Leandro Unified,9492,2376,997,668,10.5,12,643,16,140,1515,50,2011-12
17,1,61309.0,Alameda,San Lorenzo Unified,12867,1831,976,422,7.6,82,783,42,146,685,93,2011-12
18,1,75093.0,Alameda,Dublin Unified,7058,305,229,59,3.2,22,100,19,48,90,26,2011-12
19,1,75101.0,Alameda,Pleasanton Unified,15330,706,462,159,3.0,73,181,23,149,232,48,2011-12
20,1,75119.0,Alameda,Sunol Glen Unified,271,0,0,0,0.0,0,0,0,0,0,0,2011-12
21,1,76372.0,Alameda,SBE - Livermore Valley Charter,953,14,14,1,1.5,4,6,1,0,1,2,2011-12
22,1,76653.0,Alameda,SBE - Livermore Valley Charter Preparatory High,207,8,8,0,3.9,1,4,1,1,0,1,2011-12
23,2,10025.0,Alpine,Alpine County Office of Education,*,*,*,*,*,*,*,*,*,*,*,2011-12
24,2,61333.0,Alpine,Alpine County Unified,106,22,13,8,12.3,0,12,0,0,10,0,2011-12
25,3,10033.0,Amador,Amador County Office of Education,381,170,92,57,24.1,13,52,1,12,85,7,2011-12
26,3,32276.0,Amador,CEA San Bernardino Co,*,*,*,*,*,*,*,*,*,*,*,2011-12
27,3,73981.0,Amador,Amador County Unified,4225,519,326,148,7.7,60,151,5,74,198,31,2011-12
28,4,10041.0,Butte,Butte County Office of Education,1611,83,40,14,2.5,20,40,0,2,16,5,2011-12
29,4,61382.0,Butte,Bangor Union Elementary,152,15,10,3,6.6,1,7,0,0,3,4,2011-12
30,4,61408.0,Butte,Biggs Unified,581,101,56,13,9.6,3,68,3,2,19,6,2011-12
31,4,61424.0,Butte,Chico Unified,14380,1440,882,335,6.1,201,450,54,185,450,100,2011-12
32,4,61432.0,Butte,Durham Unified,1071,65,46,16,4.3,14,27,0,2,18,4,2011-12
33,4,61440.0,Butte,Feather Falls Union Elementary,71,20,13,9,18.3,1,3,0,3,13,0,2011-12
34,4,61457.0,Butte,Golden Feather Union Elementary,49,0,0,0,0.0,0,0,0,0,0,0,2011-12
35,4,61499.0,Butte,Manzanita Elementary,318,10,10,5,3.1,0,2,2,0,5,1,2011-12
36,4,61507.0,Butte,Oroville City Elementary,2956,1155,464,296,15.7,0,469,9,10,633,34,2011-12
37,4,61515.0,Butte,Oroville Union High,2826,1509,572,396,20.2,33,439,5,129,855,48,2011-12
38,4,61523.0,Butte,Palermo Union Elementary,1444,547,212,123,14.7,7,200,2,6,313,19,2011-12
39,4,61531.0,Butte,Paradise Unified,4693,884,418,201,8.9,43,353,17,72,375,24,2011-12
40,4,61549.0,Butte,Thermalito Union Elementary,1460,424,208,126,14.2,0,120,57,10,218,19,2011-12
41,4,73379.0,Butte,Pioneer Union Elementary,105,21,11,4,10.5,0,14,0,0,7,0,2011-12
42,4,75507.0,Butte,Gridley Unified,2219,297,188,71,8.5,107,50,7,33,90,10,2011-12
43,5,10058.0,Calaveras,Calaveras County Office of Education,697,704,68,53,9.8,21,77,2,73,519,12,2011-12
44,5,61556.0,Calaveras,Bret Harte Union High,819,123,73,37,8.9,0,28,2,24,66,3,2011-12
45,5,61564.0,Calaveras,Calaveras Unified,3592,473,282,104,7.9,27,131,22,86,175,32,2011-12
46,5,61572.0,Calaveras,Mark Twain Union Elementary,864,37,24,7,2.8,9,12,2,3,7,4,2011-12
47,5,61580.0,Calaveras,Vallecito Union,*,*,*,*,*,*,*,*,*,*,*,2011-12
48,6,10066.0,Colusa,Colusa County Office of Education,74,0,0,0,0.0,0,0,0,0,0,0,2011-12
49,6,61598.0,Colusa,Colusa Unified,1561,31,26,0,1.7,7,0,7,13,0,4,2011-12
50,6,61606.0,Colusa,Maxwell Unified,397,2,2,0,0.5,2,0,0,0,0,0,2011-12
51,6,61614.0,Colusa,Pierce Joint Unified,1419,297,149,57,10.5,9,93,6,36,125,28,2011-12
52,6,61622.0,Colusa,Williams Unified,1378,99,71,33,5.2,20,18,1,9,49,2,2011-12
53,7,10074.0,Contra Costa,Contra Costa County Office of Education,2435,369,224,111,9.2,24,145,4,10,172,14,2011-12
54,7,61630.0,Contra Costa,Acalanes Union High,5517,196,163,30,3.0,15,39,3,79,40,20,2011-12
55,7,61648.0,Contra Costa,Antioch Unified,19984,240,223,2,1.1,42,162,6,28,2,0,2011-12
56,7,61655.0,Contra Costa,Brentwood Union Elementary,8844,682,426,177,4.8,65,274,24,20,257,42,2011-12
57,7,61663.0,Contra Costa,Byron Union Elementary,1830,89,67,27,3.7,28,10,4,6,35,6,2011-12
58,7,61671.0,Contra Costa,Canyon Elementary,45,0,0,0,0.0,0,0,0,0,0,0,2011-12
59,7,61697.0,Contra Costa,John Swett Unified,1772,1302,425,321,24.0,49,236,8,33,947,29,2011-12
60,7,61705.0,Contra Costa,Knightsen Elementary,501,36,25,7,5.0,1,22,1,5,7,0,2011-12
61,7,61713.0,Contra Costa,Lafayette Elementary,3413,59,55,12,1.6,19,11,3,0,14,12,2011-12
62,7,61721.0,Contra Costa,Liberty Union High,8019,947,654,221,8.2,67,197,22,259,305,97,2011-12
63,7,61739.0,Contra Costa,Martinez Unified,4340,439,259,146,6.0,4,137,13,44,226,15,2011-12
