cds_code,county_code,county_name,district_code,district_name,nces_code
0110017,01,Alameda,10017,Alameda County Office of Education,0691051
0131609,01,Alameda,31609,California School for the Blind (State Special Schl),0600002
0131617,01,Alameda,31617,California School for the Deaf-Fremont (State Special Schl),0600003
0140402,01,Alameda,40402,Mission Valley ROC/P,0601397
0161119,01,Alameda,61119,Alameda Unified,0601770
0161127,01,Alameda,61127,Albany City Unified,0601860
0161135,01,Alameda,61135,Amador Valley Joint Union High,No Data
0161143,01,Alameda,61143,Berkeley Unified,0604740
0161150,01,Alameda,61150,Castro Valley Unified,0607800
0161168,01,Alameda,61168,Emery Unified,0612630
0161176,01,Alameda,61176,Fremont Unified,0614400
0161192,01,Alameda,61192,Hayward Unified,0616740
0161200,01,Alameda,61200,Livermore Valley Joint Unified,0622110
0161218,01,Alameda,61218,Mountain House Elementary,0626130
0161226,01,Alameda,61226,Murray Elementary,No Data
0161234,01,Alameda,61234,Newark Unified,0627060
0161242,01,Alameda,61242,New Haven Unified,0626910
0161259,01,Alameda,61259,Oakland Unified,0628050
0161267,01,Alameda,61267,Peralta Community College,No Data
0161275,01,Alameda,61275,Piedmont City Unified,0630330
0161283,01,Alameda,61283,Pleasanton Joint Elementary,No Data
0161291,01,Alameda,61291,San Leandro Unified,0634680
0161309,01,Alameda,61309,San Lorenzo Unified,0634710
0161325,01,Alameda,61325,Sunol Glen Elementary,No Data
0174005,01,Alameda,74005,Tri-Valley ROP,0600084
0174013,01,Alameda,74013,Eden Area ROP,0600085
0174021,01,Alameda,74021,Mission Valley ROC/P,0600086
0174039,01,Alameda,74039,East Bay Regional Occupational Agency (ROP),0600088
0174187,01,Alameda,74187,Hayward-Newhaven,No Data
0175093,01,Alameda,75093,Dublin Unified,0600019
0175101,01,Alameda,75101,Pleasanton Unified,0600020
0175119,01,Alameda,75119,Sunol Glen Unified,0600021
0175622,01,Alameda,75622,State Board of Education Charter,0600070
0175705,01,Alameda,75705,SBE - KIPP Summit Academy,No Data
0176372,01,Alameda,76372,SBE - Livermore Valley Charter,0600151
0176380,01,Alameda,76380,SBE - Leadership Public Schools - Hayward,0600152
0176653,01,Alameda,76653,SBE - Livermore Valley Charter Preparatory High,0601344
0177180,01,Alameda,77180,SBE - Latitude 37.8 High,No Data
0210025,02,Alpine,10025,Alpine County Office of Education,0691058
0261333,02,Alpine,61333,Alpine County Unified,0602070
0310033,03,Amador,10033,Amador County Office of Education,0691001
0332045,03,Amador,32045,Preston School of Industry,No Data
0332227,03,Amador,32227,Pine Grove Youth Conservation,No Data
0332276,03,Amador,32276,CEA Amador Co,0600050
0361341,03,Amador,61341,Ione Unified,No Data
0361358,03,Amador,61358,Jackson Unified,No Data
0361366,03,Amador,61366,Oro Madre Unified,No Data
0373981,03,Amador,73981,Amador County Unified,0602450
0374856,03,Amador,74856,Amador County ROP,0600089
0410041,04,Butte,10041,Butte County Office of Education,0691002
0461382,04,Butte,61382,Bangor Union Elementary,0603780
0461408,04,Butte,61408,Biggs Unified,0605040
0461424,04,Butte,61424,Chico Unified,0608370
0461432,04,Butte,61432,Durham Unified,0611730
0461440,04,Butte,61440,Feather Falls Union Elementary,0613710
0461457,04,Butte,61457,Golden Feather Union Elementary,0615480
0461465,04,Butte,61465,Gridley Union Elementary,No Data
0461473,04,Butte,61473,Gridley Union High,No Data
0461499,04,Butte,61499,Manzanita Elementary,0623700
0461507,04,Butte,61507,Oroville City Elementary,0629100
0461515,04,Butte,61515,Oroville Union High,0629130
0461523,04,Butte,61523,Palermo Union Elementary,0629540
